"sp" "environment" "DF" "SVL" "logDF" "logSVL"
"111" "Amnirana_galamensis" "still" 2500 78 3.39794000867204 1.89209460269048
"112" "Rana_picturata" "running" 2500 54 3.39794000867204 1.73239375982297
"113" "Rana_glandulosa" "still" 1380 55 3.13987908640124 1.74036268949424
"114" "Rana_baramica" "still" 2000 55.6 3.30102999566398 1.74507479158206
"115" "Rana_laterimaculata" "running" 3245 39 3.51121470113639 1.5910646070265
"116" "Rana_adenopleura" "still" 650 51 2.81291335664286 1.70757017609794
"117" "Odorrana_tormota" "running" 7000 33 3.84509804001426 1.51851393987789
"118" "Rana_hosii" "running" 4950 68 3.69460519893357 1.83250891270624
"119" "Rana_livida" "running" 5250 54 3.72015930340596 1.73239375982297
"120" "Rana_dalmatina" "still" 682 59 2.83378437465648 1.77085201164214
"121" "Rana_septentrionalis" "still" 605 63.1 2.78175537465247 1.80002935924413
"122" "Rana_taylori" "still" 1350 78 3.13033376849501 1.89209460269048
"123" "Calyptocephallela_gayi" "still" 866 120 2.93751789201735 2.07918124604762
"124" "Neobatrachus_sudelli" "still" 1509 40 3.17868923977559 1.60205999132796
"125" "Neobatrachus_pictus" "still" 1300 55 3.11394335230684 1.74036268949424
"126" "Neobatrachus_pelobatoides" "still" 816 39.6 2.91169015875386 1.59769518592551
"127" "Uperoleia_laevigata" "still" 2260 35 3.3541084391474 1.54406804435028
"128" "Pseudophryne_bibronii" "still" 2640 30 3.42160392686983 1.47712125471966
"129" "Geocrinia_victoriana" "still" 2676 27 3.42748610909579 1.43136376415899
"130" "Crinia_riparia" "running" 2735 25.2 3.43695733066945 1.40140054078154
"131" "Hylomantis_granulosa" "running" 1828 45.8 3.26197619139781 1.66086547800387
"132" "Hylomantis_lemur" "still" 2396 40.8 3.37948681371727 1.61066016308988
"133" "Pachymedusa_dacnicolor" "still" 1727 82.6 3.23729233756746 1.91698004732038
"134" "Agalychnis_litodryas" "still" 1664 72.2 3.22115332195471 1.85853719756964
"135" "Agalychnis_spurrelli" "still" 893 75.6 2.95085145888855 1.87852179550121
"136" "Agalychnis_callidryas" "still" 2006 59 3.3023309286844 1.77085201164214
"137" "Agalychnis_saltator" "still" 1800 54 3.25527250510331 1.73239375982297
"138" "Agalychnis_annae" "running" 1165 73.9 3.06632592536204 1.86864443839483
"139" "Phyllomedusa_bicolor" "still" 940 103 2.9731278535997 2.01283722470517
"140" "Phyllomedusa_tarsius" "still" 870 90 2.93951925261862 1.95424250943932
"141" "Phyllomedusa_bahiana" "still" 960 74.5 2.98227123303957 1.87215627274829
"142" "Phyllomedusa_tomopterna" "still" 1790 54 3.25285303097989 1.73239375982297
"143" "Phyllomedusa_atelopoides" "still" 1150 37.4 3.06069784035361 1.57287160220048
"144" "Phyllomedusa_duellmani" "still" 950 54.2 2.97772360528885 1.73399928653839
"145" "Phyllomedusa_palliata" "still" 1500 43.8 3.17609125905568 1.6414741105041
"146" "Phyllomedusa_nordestina" "still" 2076 42.1 3.31722734917642 1.62428209583567
"147" "Phyllomedusa_megacephala" "running" 1722 43.2 3.23603314711764 1.63548374681491
"148" "Phyllomedusa_centralis" "running" 1451 42 3.16166741243774 1.6232492903979
"149" "Litoria_leucova" "running" 4500 35.4 3.65321251377534 1.54900326202579
"150" "Litoria_spartacus" "running" 2919 37.5 3.46523409498801 1.57403126772772
"151" "Litoria_wollastoni" "running" 2950 42.7 3.46982201597816 1.63042787502502
"152" "Litoria_latopalmata" "still" 2900 39 3.46239799789896 1.5910646070265
"153" "Litoria_pallida" "still" 1963 34 3.29292029960001 1.53147891704226
"154" "Litoria_inermis" "still" 3800 33 3.57978359661681 1.51851393987789
"155" "Nyctimystes_cheesmani" "running" 1900 40 3.27875360095283 1.60205999132796
"156" "Litoria_thesaurensis" "still" 1774 65 3.24895361549571 1.81291335664286
"157" "Litoria_impura" "still" 1240 42 3.09342168516224 1.6232492903979
"158" "Litoria_rheocola" "running" 2500 35.5 3.39794000867204 1.55022835305509
"159" "Litoria_gracilenta" "still" 2750 38 3.43933269383026 1.57978359661681
"160" "Litoria_raniformis" "still" 900 79.9 2.95424250943932 1.90254677931399
"161" "Cyclorana_brevipes" "still" 1930 45 3.28555730900777 1.65321251377534
"162" "Cyclorana_cryptotis" "still" 1060 41 3.02530586526477 1.61278385671974
"163" "Cyclorana_cultripes" "still" 1879 52 3.27392678010053 1.7160033436348
"164" "Myersiohyla_kanaima" "running" 3600 37.8 3.55630250076729 1.57749179983723
"165" "Hyloscirtus_colymba" "running" 3520 37 3.54654266347813 1.56820172406699
"166" "Hyloscirtus_phyllognathus" "running" 2588 34 3.41296427199666 1.53147891704226
"167" "Hyloscirtus_armatus" "running" 3600 68.5 3.55630250076729 1.83569057149243
"168" "Bokermannohyla_hylax" "running" 2000 61.5 3.30102999566398 1.78887511577542
"169" "Bokermannohyla_circumdata" "running" 1460 70 3.16435285578444 1.84509804001426
"170" "Aplastodiscus_albofrenatus" "running" 2500 40 3.39794000867204 1.60205999132796
"171" "Aplastodiscus_arildae" "running" 2847 41.6 3.45438746714695 1.61909333062674
"172" "Aplastodiscus_albosignatus" "running" 2630 52 3.41995574848976 1.7160033436348
"173" "Hypsiboas_cinerascens" "still" 1390 44 3.14301480025409 1.64345267648619
"174" "Hypsiboas_semilineatus" "still" 1014 51 3.00603795499732 1.70757017609794
"175" "Hypsiboas_roraima" "running" 2616 44.9 3.41763773965223 1.65224634100332
"176" "Hypsiboas_microderma" "running" 3300 34 3.51851393987789 1.53147891704226
