"sp","environment","DF","SVL","logDF","logSVL"
"Smilisca_fodiens","still",2230,62.6,7.70975686445416,4.13676527810605
"Smilisca_puma","still",740,38.1,6.60665018619822,3.64021428213266
"Smilisca_phaeota","still",372,65.5,5.91889385427315,4.18205014264121
"Hyla_squirella","still",3344,36,8.11492297420459,3.58351893845611
"Hyla_andersonii","still",1100,51,7.00306545878646,3.93182563272433
"Hyla_femoralis","still",2600,37,7.86326672400957,3.61091791264422
"Ceratophrys_cornuta","still",2176,72,7.68524360797583,4.27666611901606
"Chacophrys_pierottii","still",4357,53.1,8.37953902611744,3.97217692824789
"Ceratophrys_cranwelli","still",1715,130,7.44716835960004,4.86753445045558
"Ceratophrys_ornata","still",2000,125.8,7.60090245954208,4.83469334426634
"Macrogenioglottus_alipioi","still",515,100,6.24416690066374,4.60517018598809
"Odontophrynus_cultripes","still",660,60,6.49223983502047,4.0943445622221
"Odontophrynus_americanus","still",1035,58,6.94215670569947,4.06044301054642
"Odontophrynus_occidentalis","running",820,60,6.7093043402583,4.0943445622221
"Odontophrynus_achalensis","running",933,49.4,6.83840520084734,3.89995042419388
"Proceratophrys_cristiceps","running",940,50.2,6.84587987526405,3.91601502669768
"Proceratophrys_bigibbosa","running",1050,43.8,6.95654544315157,3.7796338173824
"Proceratophrys_cururu","running",800,43.1,6.68461172766793,3.7635229971097
"Crossodactylus_schmidti","running",3306,30,8.10349427838097,3.40119738166216
"Hylodes_phyllodes","running",5000,31.4,8.51719319141624,3.44680789291421
"Hylodes_sazimai","running",4750,28.5,8.46589989702869,3.3499040872746
"Alsodes_nodosus","running",1140,75.85,7.03878354138854,4.32875770579454
"Hylorina_sylvatica","still",1252,56,7.13249755166004,4.02535169073515
"Physalaemus_signifer","still",1210,25.9,7.09837563859079,3.25424296870549
"Leptodactylus_labyrinthicus","still",391,170,5.96870755998537,5.13579843705026
"Leptodactylus_elenae","still",1160,45.2,7.05617528410041,3.81109708683819
"Allophryne_ruthveni","still",4645,20.6,8.44354665124794,3.02529107579554
"Hyalinobatrachium_mondolfii","running",5106,22.5,8.53817159780143,3.11351530921037
"Hyalinobatrachium_orientale","running",4819,24.5,8.48032171664033,3.19867311755068
"Centrolene_geckoideum","running",3828,77,8.25009775257285,4.34380542185368
"Atelopus_franciscus","running",3320,21,8.10772006191053,3.04452243772342
"Atelopus_flavescens","running",2725,30,7.91022370709734,3.40119738166216
"Atelopus_varius","running",2350,41,7.7621706071382,3.71357206670431
"Dendrophryniscus_minutus","still",3900,17,8.26873183211774,2.83321334405622
"Bufo_longinasus","running",2329,29,7.75319426988434,3.36729582998647
"Bufo_gundlachi","still",2669,34,7.88945914940452,3.52636052461616
"Bufo_taladai","running",768,138,6.64378973314767,4.92725368515721
"Bufo_empusus","still",1549,76,7.34536484041687,4.33073334028633
"Bufo_granulosus","still",2906,70,7.97453284413023,4.24849524204936
"Bufo_beebei","still",3150,51,8.05515773181968,3.93182563272433
"Bufo_schneideri","still",700,180,6.5510803350434,5.19295685089021
"Bufo_arenarum","still",1100,112,7.00306545878646,4.71849887129509
"Bufo_ocellatus","still",1378,53,7.2283884515736,3.97029191355212
"Bufo_castaneoticus","still",1650,37.7,7.40853056689463,3.62966009445396
"Bufo_coccifer","still",2512,62,7.82883452758809,4.12713438504509
