sp,environment,DF,SVL,logDF,logSVL
Bufo_luetkenii,still,1700,96,3.230448921,1.982271233
Bufo_valliceps,still,1480,77.8,3.170261715,1.890979597
Bufo_cognatus,still,2307,103,3.363047595,2.012837225
Bufo_speciosus,still,2621,78,3.418467021,1.892094603
Bufo_terrestris,still,2000,82,3.301029996,1.913813852
Bufo_steindachneri,still,2142,48.3,3.330819466,1.683947131
Bufo_pardalis,still,650,110,2.812913357,2.041392685
Bufo_pantherinus,still,2500,91,3.397940009,1.959041392
Bufo_brauni,running,1120,65,3.049218023,1.812913357
Bufo_gutturalis,still,1150,90,3.06069784,1.954242509
Bufo_calamita,still,1477,71,3.169380495,1.851258349
Bufo_raddei,still,1513,67,3.179838928,1.826074803
Bufo_asper,running,1031,100,3.013258665,2
Bufo_juxtasper,running,718,138,2.856124444,2.139879086
Ansonia_leptopus,running,3933,40,3.594723946,1.602059991
Pedostibes_tuberculosus,running,3782,38,3.577721525,1.579783597
Schismaderma_carens,still,450,88,2.653212514,1.944482672
Bufo_siculus,still,1600,86.6,3.204119983,1.937517892
Rhinophrynus_dorsalis,still,1525,75,3.183269844,1.875061263
Scaphiopus_holbrookii,still,1425,78,3.153814864,1.892094603
Megophrys_nasuta,running,2250,105,3.352182518,2.021189299
Leptolalax_pictus,running,7000,36,3.84509804,1.556302501
Leptolalax_oshanensis,running,4512,30.7,3.654369091,1.487138375
Leptobrachium_gunungense,running,1200,65,3.079181246,1.812913357
Leptobrachium_montanum,running,800,62.7,2.903089987,1.797267541
Leptopelis_kivuensis,still,1480,37,3.170261715,1.568201724
Phlyctimantis_verrucosus,still,1600,52,3.204119983,1.716003344
Heterixalus_madagascariensis,still,3375,35,3.528273777,1.544068044
Heterixalus_luteostriatus,still,3500,28,3.544068044,1.447158031
Heterixalus_betsileo,still,3000,28,3.477121255,1.447158031
Heterixalus_carbonei,still,3200,26.4,3.505149978,1.421603927
Heterixalus_tricolor,still,3000,26,3.477121255,1.414973348
Phrynomantis_bifasciatus,still,1800,53,3.255272505,1.72427587
Phrynomantis_microps,still,1260,47.3,3.100370545,1.674861141
Chiasmocleis_shudikarensis,still,3565,24.5,3.552059534,1.389166084
Hamptophryne_boliviana,still,2208,35,3.343999069,1.544068044
Elachistocleis_ovalis,still,3838,36,3.58410497,1.556302501
Hypopachus_variolosus,still,2750,48,3.439332694,1.681241237
Gastrophryne_elegans,still,3100,25.8,3.491361694,1.411619706
Gastrophryne_olivacea,still,4420,30.8,3.645422269,1.488550717
Scaphiophryne_spinosa,still,800,48,2.903089987,1.681241237
Scaphiophryne_gottlebei,still,950,30,2.977723605,1.477121255
Scaphiophryne_boribory,still,700,60,2.84509804,1.77815125
Scaphiophryne_madagascariensis,still,1000,49,3,1.69019608
Scaphiophryne_menabensis,still,850,42,2.929418926,1.62324929
Kaloula_pulchra,still,2500,70,3.397940009,1.84509804
Micryletta_inornata,still,5450,30,3.736396502,1.477121255
Calluella_guttulata,still,1950,49,3.290034611,1.69019608
Microhyla_butleri,still,2850,26,3.45484486,1.414973348
Microhyla_pulchra,still,1750,35,3.243038049,1.544068044
Ptychadena_taenioscelis,still,2450,35,3.389166084,1.544068044
Ptychadena_oxyrhynchus,still,1715,53,3.234264124,1.72427587
Ptychadena_porosissima,still,4091,44.1,3.611829479,1.644438589
Petropedetes_yakusini,running,1300,73,3.113943352,1.86332286
Tomopterna_krugerensis,still,2500,44.8,3.397940009,1.651278014
Microbatrachella_capensis,still,4900,15,3.69019608,1.176091259
Cacosternum_capense,still,2300,31.5,3.361727836,1.498310554
Euphlyctis_cyanophlyctis,still,1651,45,3.217747073,1.653212514
Euphlyctis_ehrenbergii,still,937,66,2.971739591,1.819543936
Fejervarya_limnocharis,still,2119,43,3.326130957,1.633468456
Boophis_vittatus,running,7250,25.5,3.860338007,1.40654018
Blommersia_sarotra,still,4592,16.8,3.662001879,1.225309282
Blommersia_kely,still,4700,15.9,3.672097858,1.201397124
Chiromantis_vittatus,still,3900,25.2,3.591064607,1.401400541
Chiromantis_doriae,still,4300,26.5,3.633468456,1.423245874
Chiromantis_rufescens,still,1650,49,3.217483944,1.69019608
Chiromantis_xerampelina,still,1700,75,3.230448921,1.875061263
Polypedates_maculatus,still,1550,57,3.190331698,1.755874856
Polypedates_leucomystax,still,1528,63,3.184123354,1.799340549
Rhacophorus_malabaricus,still,1260,48.3,3.100370545,1.683947131
Rhacophorus_kio,still,890,79.1,2.949390007,1.898176483
Rhacophorus_reinwardtii,still,1300,52.5,3.113943352,1.720159303
Rhacophorus_chenfui,still,2329,41,3.367169489,1.612783857
Rhacophorus_schlegelii,still,1900,43,3.278753601,1.633468456
Rhacophorus_omeimontis,still,972,70,2.987666265,1.84509804
Staurois_natator,running,4746,35.5,3.676327734,1.550228353
Amolops_chunganensis,running,3425,39,3.534660576,1.591064607
Odorrana_schmackeri,running,3479,46,3.541454429,1.662757832
Rana_utsunomiyaorum,running,2326,48.1,3.36660971,1.682145076
Rana_supranarina,running,1840,76.8,3.264817823,1.88536122
Rana_amamiensis,running,2850,69,3.45484486,1.838849091
Rana_pretiosa,still,1000,75,3,1.875061263
Rana_forreri,still,850,90,2.929418926,1.954242509
Phyllomedusa_camba,still,860,74,2.934498451,1.86923172
Phyllomedusa_trinitatis,still,800,81,2.903089987,1.908485019
Phyllomedusa_neildi,still,762,63.8,2.881954971,1.804820679
Phyllomedusa_sauvagii,still,2000,89.2,3.301029996,1.950364854
Phyllomedusa_burmeisteri,still,1500,75.8,3.176091259,1.879669206
Phyllomedusa_tetraploidea,still,1700,63.8,3.230448921,1.804820679
Phyllomedusa_distincta,still,1250,66,3.096910013,1.819543936
Phyllomedusa_hypochondrialis,still,2047,43.73,3.311117843,1.640779477
Phyllomedusa_azurea,still,2333,43.46,3.367914739,1.638089722
Litoria_tornieri,still,2725,33,3.435366507,1.51851394
Cyclorana_manya,still,2500,29.9,3.397940009,1.475671188
Hyloscirtus_palmeri,running,2500,45,3.397940009,1.653212514
Hyloscirtus_tapichalaca,running,1469,63.8,3.167021796,1.804820679
Hyloscirtus_lindae,running,1553,68.1,3.191171456,1.833147112
Hyloscirtus_pantostictus,running,1570,63,3.195899652,1.799340549
Hyloscirtus_pacha,running,1854,60.8,3.26810973,1.783903579
Aplastodiscus_callipygius,running,1040,50.7,3.017033339,1.705007959
Sphaenorhynchus_lacteus,still,2240,41.5,3.350248018,1.618048097
Scinax_berthae,still,4886,22.2,3.688953463,1.346352974
Scinax_uruguayus,still,4350,25.8,3.638489257,1.411619706
Scinax_boulengeri,still,1615,48.7,3.208172527,1.687528961
Scinax_sugillatus,still,2023,42,3.305995883,1.62324929
Scinax_rostratus,still,3050,45.7,3.484299839,1.6599162
Scinax_proboscideus,still,2012,39.8,3.303627976,1.599883072
Scinax_staufferi,still,3056,29,3.48515335,1.462397998
Scinax_boesemani,still,1420,31.1,3.152288344,1.492760389
Scinax_cruentommus,still,3300,28,3.51851394,1.447158031
Scinax_nasicus,still,1064,37,3.026941628,1.568201724
